Month;Year;Condition;Treatment;Plot;Acmelladecumbens;Agrostis montevidensis;Ambrosia tenuifolia;Lysinachia arvensis;Botriochloa laguroides;Carduus acanthoides;Carex sororia;Centaurium pluchellum;Ciclospermun leptophylum;Cortaderia selloana;Cyperus reflexus;Cinnagrostis virdifavescense;Distichlis humilis;Eleocharis bonariensis;Eryngium ebracteatum;Festuca arundinacea;Gamochaeta americana;Hidrocotile bonariensis;Paspalum dilatatum;Isolepis cernua;Juncus acutus;Juncus imbricatus;Juncus microcephalus;Aster squamatus;Medicago lupulina;Mentha pulegium;Phyla nodiflora;Helminthotheca echioides;Pseudognaphalium gaudichaudianum;Rumex crispus;Salicornia neei;Sonchus asper;Spartina densiflora;Stenotaphrum secundatum;Verbena bonariensis;Veronica peregrina;Disturbio
March;2022;with disturb;Control;1;1;;1;;;;;1;1;1;1;;1;;;1;;1;;1;;1;1;;1;;1;1;;1;;;1;;;1;65
March;2022;with disturb;Control;2;;1;1;1;1;;1;;;;1;1;;;;1;;1;1;;;1;;;1;;1;1;;;;;1;;1;1;80
March;2022;with disturb;Control;3;1;1;1;;1;;;;1;1;1;1;;1;;1;1;1;;1;;1;;;1;1;;;1;;;;1;1;;;90
March;2022;with disturb;Control;4;1;1;;;1;1;;;;;1;1;;;;1;;1;1;1;;1;1;;1;;1;;;;;;1;;;1;50
March;2022;with disturb;Control;5;;;1;;1;;1;1;;;;1;;;;1;;;;1;;1;;;1;;1;;;;;;1;;;1;40
March;2022;with disturb;Control;6;1;1;1;;1;1;;1;1;;;;;;;1;;;;1;;;;;;;;;;;1;;1;;;1;25
March;2022;without disturb;Exclosure;1;1;;;;;;;;;;1;1;;;1;1;;1;;;;;1;1;;;1;;;1;;;1;;1;;0
March;2022;without disturb;Exclosure;2;;1;;;1;;;;;;1;1;;;;1;;1;;;;1;;1;;;;;;;;;1;;;;0
March;2022;without disturb;Exclosure;3;1;;;1;1;;;1;;1;;;;;;1;;1;;1;;1;1;;;;1;;;;;;1;;;;0
March;2022;without disturb;Exclosure;4;1;;;;1;;;;;;1;;;;;1;;1;;;1;;1;;;;;;;;;;1;1;;;0
March;2022;without disturb;Exclosure;5;;;;;1;;;1;;;;;;;;1;;1;;1;;1;;1;;;1;;;;;;1;;;1;0
March;2022;without disturb;Exclosure;6;1;1;;;;;;1;;;;;;;;1;;1;;;;1;;1;1;;;1;;;1;1;1;;;1;0
