Site;trat;Tratamiento;Largo (cm);Ancho (cm);m2;Cobertura total;Spartina;Salicornia neei;Hidrocotile bonariensis;Mentha pulegium;Picris echiroides;Distichlis spicata;Veronica peregrina;Cyclospermum;Festuca arundinacea;Acmela decumbens;Anagallis aravensis;Ambrosia tenuifolia;Medicago lopulino;Cirsium vulgare o Carduus sp.;Melilotus officinalis;Carex bonariensis;Cyperus reflexus;Litter;Suelo desnudo
Mar Chiquita;b;ExclusionWGP;60;35;0,21;71;15;;1;;;;;;55;;;;;;;;;10;20
Mar Chiquita;b;ExclusionWGP;60;45;0,27;86;20;;;15;;;;;40;;10;;;;;1;;20;25
Mar Chiquita;a;Control;105;40;0,42;25;10;;;;;;;;15;;;;;;;;;35;80
Mar Chiquita;b;ExclusionWGP;57;40;0,228;60;20;;;;;;;;40;;;;;;;;;35;15
Mar Chiquita;a;Control;55;80;0,44;21;5;;;;;;;;15;;;1;;;;;;15;95
Mar Chiquita;a;Control;65;45;0,2925;124;15;;;;80;;2;;20;;;7;;;;;;5;5
Mar Chiquita;b;ExclusionWGP;75;60;0,45;80;10;;;;;5;;;20;;;5;;40;;;;20;10
Mar Chiquita;a;Control;40;35;0,14;76;5;;;;60;;;;10;;;1;;;;;;30;5
Mar Chiquita;b;ExclusionWGP;30;30;0,09;85;10;;;;;;;;75;;;;;;;;;35;2
Mar Chiquita;a;Control;45;25;0,1125;44;5;5;;;7;;7;10;5;;;5;;;;;;3;90
Mar Chiquita;b;ExclusionWGP;40;50;0,2;100;10;;;;;;;;90;;;;;;;;;15;5
Mar Chiquita;a;Control;60;35;0,21;96;5;;1;;;;;;75;;;10;;;5;;;5;35
Mar Chiquita;a;Control;20;20;0,04;39;5;;1;;;;;;32;;;1;;;;;;25;80
Mar Chiquita;b;ExclusionWGP;35;40;0,14;61;20;;1;;8;;5;;25;;;1;1;;;;;20;70
Mar Chiquita;c;ExclusionWB;100;100;1;108;10;;;;;;;;98;;;;;;;;;35;10
Mar Chiquita;c;ExclusionWB;100;100;1;106;5;;;;;;;;100;1;;;;;;;;40;5
Mar Chiquita;c;ExclusionWB;100;100;1;100;5;;;;;;;;95;;;;;;;;;50;20
Mar Chiquita;c;ExclusionWB;100;100;1;90;;;;;;;;;90;;;;;;;;1;40;25
Mar Chiquita;c;ExclusionWB;100;100;1;52;5;;1;;;;;;45;;;;;;1;;;55;25
Mar Chiquita;c;ExclusionWB;100;100;1;105;10;;;;;;;;95;;;;;;;;;30;35
